iter	Passed	Remaining
0	149	149374
1	152	76028
2	155	51841
3	158	39562
4	161	32144
5	164	27194
6	167	23725
7	170	21187
8	174	19192
9	181	17935
10	189	17029
11	196	16198
12	201	15270
13	205	14481
14	210	13849
15	215	13267
16	221	12819
17	226	12352
18	232	12028
19	240	11800
20	245	11450
21	253	11260
22	259	11041
23	273	11140
24	282	10999
25	289	10853
26	301	10877
27	310	10784
28	318	10666
29	323	10470
30	331	10355
31	336	10171
32	344	10086
33	348	9906
34	356	9826
35	361	9675
36	368	9582
37	376	9535
38	381	9402
39	385	9252
40	389	9121
41	396	9036
42	404	9004
43	408	8880
44	415	8824
45	420	8720
46	424	8610
47	428	8502
48	435	8455
49	440	8366
50	447	8331
51	456	8319
52	460	8232
53	468	8205
54	477	8203
55	483	8143
56	490	8121
57	495	8045
58	500	7977
59	507	7951
60	511	7878
61	519	7861
62	523	7792
63	528	7729
64	532	7652
65	538	7617
66	544	7583
67	548	7516
68	556	7514
69	561	7457
70	567	7428
71	572	7383
72	577	7333
73	585	7324
74	592	7312
75	596	7254
76	604	7248
77	609	7205
78	615	7172
79	618	7117
80	621	7052
81	629	7049
82	636	7028
83	646	7051
84	655	7051
85	663	7046
86	666	6999
87	674	6994
88	678	6948
89	686	6936
90	689	6891
91	697	6880
92	701	6839
93	709	6836
94	716	6820
95	723	6809
96	731	6805
97	736	6775
98	744	6771
99	752	6771
100	756	6733
101	764	6728
102	768	6690
103	772	6653
104	774	6605
105	780	6586
106	787	6573
107	793	6550
108	798	6528
109	805	6516
110	812	6505
111	818	6490
112	826	6489
113	832	6473
114	837	6445
115	842	6424
116	850	6416
117	857	6408
118	865	6404
119	868	6372
120	877	6374
121	881	6342
122	885	6314
123	891	6296
124	904	6329
125	911	6321
126	918	6315
127	927	6316
128	933	6303
129	939	6287
130	945	6275
131	954	6275
132	962	6275
133	973	6290
134	981	6289
135	990	6291
136	997	6285
137	1002	6261
138	1009	6254
139	1013	6225
140	1021	6222
141	1029	6218
142	1033	6192
143	1040	6185
144	1044	6160
145	1052	6157
146	1059	6150
147	1064	6128
148	1069	6105
149	1073	6081
150	1079	6071
151	1083	6045
152	1087	6020
153	1093	6008
154	1100	5997
155	1105	5982
156	1109	5959
157	1116	5951
158	1125	5950
159	1130	5935
160	1138	5933
161	1145	5923
162	1150	5907
163	1154	5883
164	1159	5869
165	1164	5849
166	1168	5826
167	1174	5815
168	1178	5796
169	1186	5790
170	1192	5778
171	1196	5759
172	1200	5738
173	1207	5731
174	1211	5712
175	1215	5690
176	1222	5682
177	1229	5679
178	1234	5660
179	1241	5657
180	1246	5639
181	1254	5638
182	1258	5619
183	1263	5602
184	1266	5580
185	1271	5562
186	1274	5540
187	1278	5523
188	1282	5503
189	1287	5488
190	1295	5487
191	1303	5483
192	1306	5463
193	1310	5444
194	1314	5425
195	1320	5415
196	1327	5411
197	1332	5397
198	1338	5389
199	1346	5386
200	1351	5371
201	1355	5355
202	1360	5342
203	1363	5321
204	1368	5305
205	1371	5286
206	1379	5286
207	1385	5274
208	1393	5275
209	1401	5273
210	1410	5272
211	1419	5274
212	1427	5275
213	1432	5260
214	1436	5245
215	1442	5234
216	1446	5217
217	1453	5212
218	1457	5197
219	1465	5195
220	1469	5178
221	1476	5174
222	1480	5158
223	1489	5158
224	1494	5146
225	1499	5135
226	1503	5121
227	1507	5104
228	1515	5101
229	1522	5096
230	1525	5079
231	1528	5059
232	1536	5057
233	1539	5040
234	1543	5025
235	1547	5009
236	1550	4990
237	1557	4986
238	1561	4970
239	1564	4953
240	1568	4938
241	1570	4919
242	1576	4911
243	1580	4896
244	1583	4879
245	1587	4864
246	1589	4846
247	1596	4839
248	1600	4827
249	1604	4812
250	1608	4798
251	1610	4780
252	1617	4775
253	1620	4760
254	1623	4743
255	1627	4729
256	1630	4713
257	1637	4708
258	1640	4692
259	1643	4676
260	1646	4661
261	1649	4645
262	1655	4639
263	1659	4625
264	1663	4613
265	1666	4599
266	1669	4582
267	1675	4576
268	1679	4563
269	1682	4549
270	1686	4535
271	1689	4520
272	1696	4517
273	1700	4504
274	1703	4490
275	1706	4477
276	1710	4463
277	1716	4458
278	1720	4445
279	1723	4430
280	1727	4419
281	1729	4404
282	1736	4399
